username,content,timestamp
huttopie,quand chi ##ites mener ##ont plus dact ##ions contre su ##nn ##ites,2025-06-17T11:50:30.115363
sinrok972,ca dep ##end milliard ##aire lin ##dien tous cas a aval ##e abe ##ille pauvre,2025-06-17T11:50:32.057894
prof_intern,ya quoi centre gauche lau ##dio ##vis ##uelle publiques,2025-06-17T11:50:38.454950
cyrille8574,da ##cc ##ord alors,2025-06-17T11:50:46.616474
lebylkus92,sam ##uel ja ##i limp ##ression chaine ##s din ##for ##mation fr indique ces ##t panique iran rs ces ##t autre histoire,2025-06-17T11:51:00.273373
aoreliofr,lit monde,2025-06-17T11:51:02.376455
sdfljsgrljfslk,md ##r lira ##n a toujours dit cet ##ait projet,2025-06-17T11:51:04.258681
tutor_hcz,france 2,2025-06-17T11:51:04.627350
saberan31,politi ##cien dun reg ##ime autori ##taire th ##in ##ker ##vie ##w connu etre complot ##iste ya donc b ##cp credi ##t a apporter a cette inf ##o,2025-06-17T11:51:09.816276
le_chouffleur,inverse ##ment 3,2025-06-17T11:51:18.875490
john33fr,rappelle quis ##rae ##l frappe lira ##n ev ##iter quil nait acces a bombe at ##omique bombe quis ##rae ##l produit toute ille ##gal ##ite,2025-06-17T11:51:19.826206
langstrand,ca change a ete dit passe maintes fois,2025-06-17T11:51:25.084714
aoreliofr,o ##k merci,2025-06-17T11:51:33.050594
bapthard,dire radio france donc france inter ces ##t a gauche peu bizarre exemple,2025-06-17T11:51:34.892706
biuemoon___,contraire disent ces ##t panique isra ##el medi ##as donc bon,2025-06-17T11:51:39.850593
ptitejaja,clairement dou question question iran ##ienne je ##xc ##lu quo ##n soit ##en occident soumis a certaine forme propagande dou diffic ##ulte tirer vrais faux,2025-06-17T11:51:42.906833
apsilon999,tout ca rien ces ##t fr ##ustr ##ant,2025-06-17T11:51:53.308229
fricasseedefevesaubellota,th ##ik ##erv ##iew medi ##a propagande pror ##usse meme si lot choses inter ##ess ##antes fois dites,2025-06-17T11:52:01.594951
prof_intern,extr ##em ##e centre centre gauche,2025-06-17T11:52:04.438277
bapthard,france inter donc radio france,2025-06-17T11:52:06.862030
huttopie,nes ##t lar ##abie sa ##oud ##ite a bombarde complexe pet ##rol ##ier iran ##ien,2025-06-17T11:52:10.586482
david_ayoun,isra ##el fait frappe ##s ci ##ble ##es sites nu ##cle ##aires stra ##te ##giques ci ##ble civils contrairement a lira ##n,2025-06-17T11:52:11.609764
chiengpt,tout ##af ##e,2025-06-17T11:52:17.108900
xelfuego,limp ##ression revoir sc ##ena ##rio ira ##k,2025-06-17T11:52:19.128713
monsieurdemesmaeker,exactement,2025-06-17T11:52:21.386795
saberan31,sid ##era ##nt france dise pre ##t a soutenir isra ##el coute coute alors ces ##t pays agresseur bombarde autre me ##pris lois internationales,2025-06-17T11:52:21.541160
lebylkus92,oui montre comme quoi lira ##n a genoux alors je ##n limp ##ression quand voit frappe ##s ise ##ral,2025-06-17T11:52:25.730175
theoriginalpimousse_,sauf a gaz ##a,2025-06-17T11:52:36.132047
tutor_hcz,ca veut rien dire extr ##em ##e centre,2025-06-17T11:52:36.198568
ptitejaja,th ##in ##ker ##vie ##w connu etre complot ##iste ah bon a conse ##ns ##us quelconque dessus,2025-06-17T11:52:38.290566
biuemoon___,ah oui tous civils gaz ##a tue ##s aussi zones nu ##cle ##aires,2025-06-17T11:52:45.201829
le_chouffleur,ja ##i jamais dit cet ##ait bonne ide ##e remettre interv ##ille moi ##me ##me ja ##i a pri ##oris regarder ##ai moins fois faire avis tranche,2025-06-17T11:52:48.624341
spagulaax,bien comme frappe fameux medi ##a direct,2025-06-17T11:52:49.081851
t_0_m7z,md ##rr ##rr da ##cc ##ord revi ##se sujet,2025-06-17T11:52:50.601075
monsieurdemesmaeker,oui,2025-06-17T11:52:52.033122
john33fr,point vraiment 60 ces ##t loin 90 den ##rich ##issement ne ##cess ##aires,2025-06-17T11:52:52.539333
neronron,dis totalement faux nez vise ##nt sites nu ##cle ##aires frappe ##nt alle ##gre ##ment civils,2025-06-17T11:52:52.892551
fx_filou_4qc_,cc a parler g ##7 tient can ##ada alb ##ert ##a,2025-06-17T11:52:55.696395
cyrille8574,se ##em ##s ##go ##od,2025-06-17T11:53:11.313994
bertocheeee,ny bien ##to ##t plus mouv dont em ##ission ##s grille musicale programmes et ##aient dut ##ilit ##e publique selon ya plein gens vire ##s mis placard a france inter donc peut etre moins moins a gauche,2025-06-17T11:53:13.971556
