username,content,timestamp
nightbot,ma semaine sur tw ##itch le bes ##to ##f nd ##eg est arrive il est ici,2025-06-17T11:48:17.076682
saberan31,normal vu ce que je dec ##ris non,2025-06-17T11:48:17.403608
bertocheeee,m ca suffit pas a rachet ##er france tv ces ##t juste le salaire annuel de na ##gui ca,2025-06-17T11:48:17.606633
moulbitt,du coup on paie ##ra plus de redev ##ance k ##app ##a,2025-06-17T11:48:18.358254
tutor_hcz,x ##tre ##ee ##mm ##m,2025-06-17T11:48:18.717291
forzekeykey,ces ##t pas grave si ces ##t priv ##e de gauche ou extr ##em ##e gauche au moins ces ##t pas finance par nos impo ##ts ces ##t ca le vrai prob ##lem ##e que nos impo ##ts finance ##nt une chaine radio qui a un gros parti pris,2025-06-17T11:48:22.012305
rydars,you ##pi,2025-06-17T11:48:23.403929
xonoss,une part de ver ##ite quand meme sam ##uel md ##r,2025-06-17T11:48:23.904704
myxprtz,la chaine tw ##itch de sam access ##ible sur la et sam ##uel ##e ##jour ##nau ##x,2025-06-17T11:48:25.299019
8528lucky13,la chaine qui parlera ##i que tu pres ##ident sam ##uel eti ##enne en bien,2025-06-17T11:48:25.507888
cyrille8574,en fait ja ##ime bien na ##gui mais son inte ##gr ##isme ve ##get ##arie ##nd ##ef ##enseur des animaux me sa ##oule et je suis contre le fait de faire du mal aux animaux comme dans les corrid ##as,2025-06-17T11:48:28.464286
runcyterr,la fin du monde la fin du monde,2025-06-17T11:48:29.237595
le_chouffleur,hel ##lo le raid,2025-06-17T11:48:30.054972
biuemoon___,t ##qt pas ca viendra ca arrivera quand tu ty attend ##ras le moins cours pas trop apr ##es tu vas perdre espoir concent ##re toi sur un projet etc et ca te tomber ##a dessus tu verra ##s sam ##uel ##elo ##ve,2025-06-17T11:48:33.623379
lestudiogeek,cou ##cou ici,2025-06-17T11:48:33.728275
theoriginalpimousse_,sur les quoi,2025-06-17T11:48:33.919711
rommytek6,il en on jamais assez not ##li ##ket ##his,2025-06-17T11:48:33.999706
lart_des_choix,pas la meilleure des transition ##s,2025-06-17T11:48:35.804348
earendil2016,cou ##cou et les raid ##ers,2025-06-17T11:48:39.612605
docdaneeka22,bonne ide ##e priv ##atis ##er un service public ca na jamais ete un des ##ast ##re dans lh ##istoire de lh ##uma ##nit ##e md ##r,2025-06-17T11:48:50.443328
bristolte,on lap ##pel ##era lfi la france informe ##e,2025-06-17T11:48:52.074320
moulbitt,il a pas compris mon k ##app ##a not ##li ##ket ##his not ##li ##ket ##his adieu les amis,2025-06-17T11:49:04.107362
cyrille8574,les raid ##ers deux doigts coupe ##nt faim k ##app ##a,2025-06-17T11:49:06.377356
tutor_hcz,pas mal,2025-06-17T11:49:10.382648
bapthard,oui les chaine ##s publiques sont parmi les dernier ##es a etre plut ##ot centre ##ga ##uche alors que toutes les chaine ##s priv ##ee ##s vont du centre a le ##xt ##re ##med ##roite sp ##oile ##r ces ##t pour continuer leur des ##in ##for ##mation,2025-06-17T11:49:11.352661
sinrok972,ou ##ai mais ils sont couvert par sta ##rl ##in ##k lira ##n donc tout va bien,2025-06-17T11:49:13.673199
prof_intern,france tv est de ##xt ##re ##me centre comme le gouvernement,2025-06-17T11:49:14.136329
lupa_612,adieu monde cruel,2025-06-17T11:49:14.300045
sugarfr0g,ces ##t honteux en tant que mod ##o k ##app ##a,2025-06-17T11:49:20.738070
theoriginalpimousse_,o,2025-06-17T11:49:21.056125
earendil2016,les meme,2025-06-17T11:49:21.198666
saberan31,des ##ole mais je regarda ##is beaucoup tout le monde veut prendre sa place ya ans et si cet ##ait flagrant il ses ##t calme lade ##ss ##us heureusement mais bon ca me dera ##ng ##e quand meme,2025-06-17T11:49:22.075959
meanterrrrrrr,question un peut bet ##e mais le monde est il un journal orient ##e vers un certain parti politique ou est il neutre,2025-06-17T11:49:26.468241
magicodinotte,tu penses qu ##un milliard ##aire va rachet ##er une chaine pour faire de le ##xte ##me gauche,2025-06-17T11:49:26.549767
cyrille8574,lu ##l,2025-06-17T11:49:28.412535
earendil2016,o,2025-06-17T11:49:36.408191
alfacto77,bon ##jour sam ##uel jau ##rais une requ ##et ##e a te soumettre serait ##il possible de mettre dans la description des vide ##os you ##tu ##be de red ##iff ##usion des rd ##p les gros titres sujets traite ##es dans celles ##ci sv ##p merci pour ta rep ##onse,2025-06-17T11:49:46.441004
tutor_hcz,il faut dej ##a un milliard ##aire de ##xt ##re ##me gauche,2025-06-17T11:49:47.406791
ptitejaja,dai ##lle ##ur sam ##um ##u hier tu disais que lira ##n avait annonce vouloir det ##ru ##ire isra ##el mais un em ##inent du reg ##ime iran ##ien sur th ##in ##ker ##vie ##w disait qua ##uc ##un responsable iran ##ien nav ##ait tenu des tels propos et quil ##s nav ##aient pas de vel ##eh ##ites bel ##ique ##uses avec isra ##el tu en penses quoi,2025-06-17T11:49:48.230317
saberan31,assez neutre,2025-06-17T11:49:53.330155
payetabiere_,tf extr ##em ##e droite,2025-06-17T11:50:00.176604
monsieurdemesmaeker,je te crois mais ja ##i pas vu de ##xt ##rait ##s,2025-06-17T11:50:02.290590
bloodyboulga,a quel moment les su ##nit ##es vont se sentir plus solid ##aires quant ##ich ##iite ##s,2025-06-17T11:50:03.138134
le_chouffleur,oui je comprends moi ##me ##me ja ##i un peu de mal avec na ##gui et sa manie de toujours faire la morale aux gens dans ses em ##ission ##s de toute manie ##re on verra si le public suit ou non,2025-06-17T11:50:09.293186
runcyterr,je vois plus comment tout ca peu bien finir,2025-06-17T11:50:14.958978
smhashhh,ils fuit le pays,2025-06-17T11:50:20.700728
bapthard,non centre je dirai ##s peut ##et ##re centre ##dro ##ite,2025-06-17T11:50:21.075727
chiengpt,th ##in ##ker ##vie ##w pince ##tte a minim ##a,2025-06-17T11:50:26.875916
huttopie,quand les chi ##ites ne mener ##ont plus dact ##ions contre les su ##nn ##ites,2025-06-17T11:50:30.115363
sinrok972,ca dep ##end du milliard ##aire pas lin ##dien en tous cas il a aval ##e une abe ##ille le pauvre,2025-06-17T11:50:32.057894
prof_intern,ya quoi de centre gauche sur lau ##dio ##vis ##uelle publiques,2025-06-17T11:50:38.454950
cyrille8574,on est da ##cc ##ord alors,2025-06-17T11:50:46.616474
lebylkus92,sam ##uel ja ##i limp ##ression que sur les chaine ##s din ##for ##mation fr on nous indique que ces ##t la panique en iran et sur les rs ces ##t une autre histoire,2025-06-17T11:51:00.273373
aoreliofr,on lit le monde la,2025-06-17T11:51:02.376455
sdfljsgrljfslk,md ##r lira ##n a toujours dit que cet ##ait leur projet d,2025-06-17T11:51:04.258681
tutor_hcz,france,2025-06-17T11:51:04.627350
saberan31,politi ##cien dun reg ##ime autori ##taire th ##in ##ker ##vie ##w qui est connu pour etre complot ##iste ya donc pas b ##cp de credi ##t a apporter a cette inf ##o,2025-06-17T11:51:09.816276
le_chouffleur,et inverse ##ment,2025-06-17T11:51:18.875490
john33fr,on rappelle quis ##rae ##l frappe lira ##n pour ev ##iter quil nait acces a la bombe at ##omique bombe quis ##rae ##l produit en toute ille ##gal ##ite,2025-06-17T11:51:19.826206
langstrand,ca ne change pas ce qui a ete dit dans le passe maintes fois,2025-06-17T11:51:25.084714
aoreliofr,o ##k merci,2025-06-17T11:51:33.050594
bapthard,me dire que radio france donc france inter ces ##t pas a gauche ce serait un peu bizarre par exemple,2025-06-17T11:51:34.892706
biuemoon___,au contraire ils disent que ces ##t la panique pour isra ##el les medi ##as sont pour eux donc bon,2025-06-17T11:51:39.850593
ptitejaja,clairement dou ma question mais sur la question iran ##ienne je ##xc ##lu pas quo ##n soit ##en occident soumis a une certaine forme de propagande dou la diffic ##ulte de tirer le vrais du faux,2025-06-17T11:51:42.906833
apsilon999,tout ca pour rien ces ##t fr ##ustr ##ant,2025-06-17T11:51:53.308229
fricasseedefevesaubellota,th ##ik ##erv ##iew est un medi ##a de propagande pror ##usse meme si dans le lot des choses inter ##ess ##antes des fois sont dites,2025-06-17T11:52:01.594951
prof_intern,extr ##em ##e centre pas centre gauche,2025-06-17T11:52:04.438277
bapthard,que france inter donc radio france,2025-06-17T11:52:06.862030
huttopie,ce nes ##t pas lar ##abie sa ##oud ##ite qui a bombarde un complexe pet ##rol ##ier iran ##ien,2025-06-17T11:52:10.586482
david_ayoun,isra ##el fait des frappe ##s ci ##ble ##es sur des sites nu ##cle ##aires stra ##te ##giques il ne ci ##ble pas les civils contrairement a lira ##n,2025-06-17T11:52:11.609764
chiengpt,tout ##af ##e,2025-06-17T11:52:17.108900
xelfuego,limp ##ression de revoir le sc ##ena ##rio en ira ##k,2025-06-17T11:52:19.128713
monsieurdemesmaeker,exactement,2025-06-17T11:52:21.386795
saberan31,sid ##era ##nt que la france se dise pre ##t a soutenir isra ##el coute que coute alors que ces ##t le pays agresseur qui en bombarde un autre au me ##pris des lois internationales,2025-06-17T11:52:21.541160
lebylkus92,et oui on nous montre comme quoi lira ##n est a genoux alors que je ##n ai pas limp ##ression quand on voit les frappe ##s sur ise ##ral,2025-06-17T11:52:25.730175
theoriginalpimousse_,sauf a gaz ##a,2025-06-17T11:52:36.132047
tutor_hcz,ca veut rien dire extr ##em ##e centre,2025-06-17T11:52:36.198568
ptitejaja,th ##in ##ker ##vie ##w connu pour etre complot ##iste ah bon il y a un conse ##ns ##us quelconque la dessus,2025-06-17T11:52:38.290566
biuemoon___,ah oui et tous les civils de gaz ##a tue ##s sont aussi des zones nu ##cle ##aires,2025-06-17T11:52:45.201829
le_chouffleur,ja ##i jamais dit que cet ##ait une bonne ide ##e de remettre interv ##ille moi ##me ##me ja ##i mes a pri ##oris mais je regarder ##ai au moins une fois pour me faire un avis tranche,2025-06-17T11:52:48.624341
spagulaax,bien sur comme la frappe sur le fameux medi ##a en direct,2025-06-17T11:52:49.081851
t_0_m7z,md ##rr ##rr da ##cc ##ord revi ##se ton sujet,2025-06-17T11:52:50.601075
monsieurdemesmaeker,oui,2025-06-17T11:52:52.033122
john33fr,sur le point vraiment pas ces ##t loin des den ##rich ##issement ne ##cess ##aires,2025-06-17T11:52:52.539333
neronron,ce que tu dis est totalement faux ils nez vise ##nt pas que des sites nu ##cle ##aires et frappe ##nt alle ##gre ##ment les civils,2025-06-17T11:52:52.892551
fx_filou_4qc_,cc a tu parler du g qui ce tient au can ##ada en alb ##ert ##a,2025-06-17T11:52:55.696395
cyrille8574,se ##em ##s ##go ##od,2025-06-17T11:53:11.313994
bertocheeee,il ny aura bien ##to ##t plus mouv dont les em ##ission ##s la grille musicale de programmes et ##aient dut ##ilit ##e publique selon moi ya eu plein de gens vire ##s ou mis au placard a france inter donc peut etre de moins en moins a gauche,2025-06-17T11:53:13.971556
leyaourtnature,ces ##t pra ##g ##matique isra ##el nes ##t pas une menace pour la france lira ##n qui finance des groupes terror ##istes oui,2025-06-17T11:53:14.256665
biuemoon___,isra ##el tap ##e et pleure a un retour ils rec ##olte ##nt ce quil ##s ont sem ##e,2025-06-17T11:53:14.731298
falwoufr,la guerre est une poursuite de lac ##tiv ##ite politique par dau ##tres moyens,2025-06-17T11:53:16.355790
rydars,laisser lar ##me nu ##cle ##aire a un et ##at is ##lam ##ique repr ##ese ##nte ##til dangereux pour les pays occident ##aux et occident ##alis ##es sachant que depuis les annee ##s les gouvernements occident ##aux empe ##che lira ##n dy avoir acces,2025-06-17T11:53:18.090853
lupa_612,je vous laisse les amis bon liv ##e a tous et tous les autres a tres vite sam ##uel ##ed ##ark,2025-06-17T11:53:23.139209
sinrok972,dou ##vr ##ir la voie au usa voil ##a lo ##b ##jec ##tif,2025-06-17T11:53:32.093912
prof_intern,ah oui france inter avec la gen ##ial ##e soph ##ia ara ##m ces ##t la gauche univers ##ali ##te ja ##vais oublie heureusement quil ny a pas eu de purg ##e rece ##mment,2025-06-17T11:53:36.002298
ptitejaja,et on sait confirmer que ca a ete dit et qui plus est par quelqu ##un qui repr ##ese ##nte effectivement le g ##vt iran ##ien sources,2025-06-17T11:53:37.734152
lordsuperzob3000,ils coupe ##nt des vivres du ha ##mas a la source,2025-06-17T11:53:38.244551
sugarfr0g,salut bon app,2025-06-17T11:53:38.389889
rommytek6,merci ##i bonne journ ##ee a toi,2025-06-17T11:53:41.513933
sdfljsgrljfslk,bonne apr ##em,2025-06-17T11:53:43.383688
runcyterr,ces ##t un et ##at criminels qui attaque un et ##at violent voil ##a tout ca ne diminue ni la cru ##aute de lun ni de lau ##tre,2025-06-17T11:53:43.569929
moulbitt,a la prochaine sam ##uel ##ed ##ragon ort ##of ##ist ##bu ##mp,2025-06-17T11:53:45.285575
xelfuego,ni isra ##el ni lira ##n ne devraient avoir le nu ##cle ##aire,2025-06-17T11:53:46.619075
bapthard,il insin ##ue que france est juste bien centr ##iste im ##o ce nes ##t pas le cas ces ##t plut ##ot centre ##ga ##uche,2025-06-17T11:53:46.883977
smhashhh,mais no ##oo ##oo ##onn,2025-06-17T11:53:49.006279
erycite_,des ##ole j ##y connais rien mais le projet nu ##cle ##aire iran ##ien ces ##t uniquement pour lar ##me nu ##cle ##aire ou ces ##t aussi ##s ##urt ##out pour des centrales,2025-06-17T11:53:51.303822
cyrille8574,le reg ##ime des mots la en iran ces ##t un reg ##ime log ##ocra ##tique pas the ##ocra ##tique k ##app ##a,2025-06-17T11:53:54.785156
lupa_612,de meme sam ##uel ##ea ##lat ##ienne,2025-06-17T11:53:55.561020
m_e_p_h,une question tres bet ##e mais comment des bombardement ##s peuvent frein ##er la progression de lac ##quis ##ition de lar ##me nu ##cle ##aire je suppose que les cherche ##urs sont tous dans un bu ##n ##ker non,2025-06-17T11:54:01.526044
