username,content,timestamp
le_chouffleur,@Cyrille8574 J'ai jamais dit que c'était une bonne idée de remettre Interville. Moi-même j'ai mes a prioris. Mais je regarderai au moins une fois pour me faire un avis tranché ^^,2025-06-17T11:52:48.624341
spagulaax,@david_ayoun Bien sur comme la frappe sur le fameux média en direct ;),2025-06-17T11:52:49.081851
t_0_m7z,@david_ayoun mdrrrr d'accord révise ton sujet,2025-06-17T11:52:50.601075
monsieurdemesmaeker,@ptitejaja oui,2025-06-17T11:52:52.033122
john33fr,"""sur le point"" vraiment pas, 60% c'est LOIN des 90% d'enrichissement nécessaires",2025-06-17T11:52:52.539333
neronron,"@david_ayoun ce que tu dis est totalement faux, ils nez visent pas que des sites nucléaires, et frappent allégrement les civils",2025-06-17T11:52:52.892551
fx_filou_4qc_,cc a tu parler du g7 qui ce tient au canada en alberta,2025-06-17T11:52:55.696395
cyrille8574,@le_chouffleur SeemsGood,2025-06-17T11:53:11.313994
bertocheeee,"@bapthard il n'y aura bientôt plus Mouv dont les émissions, la grille musicale, de programmes étaient d'utilité publique selon moi, y'a eu plein de gens virés ou mis au placard a France inter, donc peut être de moins en moins à gauche",2025-06-17T11:53:13.971556
leyaourtnature,"@saberan31 C'est pragmatique, Israel n'est pas une menace pour la France, l'Iran, qui finance des groupes terroristes, oui.",2025-06-17T11:53:14.256665
biuemoon___,"@lebylkus92 israel tape et pleure a un retour, ils récoltent ce qu'ils ont semé",2025-06-17T11:53:14.731298
falwoufr,“La guerre est une poursuite de l'activité politique par d'autres moyens.”,2025-06-17T11:53:16.355790
rydars,laisser l'arme nucléaire à un état islamique représente-t-il dangereux pour les pays occidentaux et occidentalisés ? sachant que depuis les années 80 les gouvernements occidentaux empeche l'iran d'y avoir acces ?,2025-06-17T11:53:18.090853
lupa_612,"Je vous laisse les amis, bon live à tous ! @samueletienne  @moulbitt @sdfljsgrljfslk @sugarfr0g @kine22 @theoriginalpimousse_ et tous les autres... à très vite samueleDark",2025-06-17T11:53:23.139209
sinrok972,d'ouvrir la voie au USA voila l'objectif.,2025-06-17T11:53:32.093912
prof_intern,"@Bapthard Ah oui, France inter avec la géniale Sophia Aram c'est la gauche universalite j'avais oublié. Heureusement qu'il n'y a pas eu de purge récemment",2025-06-17T11:53:36.002298
ptitejaja,@Langstrand Et on sait confirmer que ça a été dit ? Et qui plus est par quelqu'un qui représente effectivement le gvt Iranien ? (sources ?),2025-06-17T11:53:37.734152
lordsuperzob3000,ils coupent des vivres du Hamas a la source,2025-06-17T11:53:38.244551
sugarfr0g,@lupa_612 salut ! bon app’,2025-06-17T11:53:38.389889
rommytek6,@lupa_612 mercii bonne journée à toi !,2025-06-17T11:53:41.513933
sdfljsgrljfslk,bonne aprem @Lupa_612,2025-06-17T11:53:43.383688
runcyterr,C'est un état criminels qui attaque un état violent voila tout ... ça ne diminue ni la cruauté de l'un ni de l'autre,2025-06-17T11:53:43.569929
moulbitt,@lupa_612 a la prochaine ! samueleDragon ortoFistbump,2025-06-17T11:53:45.285575
xelfuego,ni Israel ni l'Iran ne devraient avoir le nucléaire,2025-06-17T11:53:46.619075
bapthard,"@tutor_hcz Il insinue que France 2 est juste bien centriste (imo ce n'est pas le cas, c'est plutôt centre-gauche)",2025-06-17T11:53:46.883977
smhashhh,mais noooooonn???,2025-06-17T11:53:49.006279
erycite_,"Désolé j'y connais rien, mais le projet nucléaire iranien c'est uniquement pour l'arme nucléaire ou c'est aussi/surtout pour des centrales?",2025-06-17T11:53:51.303822
cyrille8574,le régime des mots là en Iran c'est un régime logocratique pas théocratique Kappa,2025-06-17T11:53:54.785156
lupa_612,@sugarfr0g de même samueleALaTienne,2025-06-17T11:53:55.561020
m_e_p_h,"Une question très bête mais comment des bombardements peuvent freiner la ""progression"" de l'acquisition de l'arme nucléaire ? je suppose que les chercheurs sont tous dans un bunker non ?",2025-06-17T11:54:01.526044
lupa_612,@rommytek6 samueleCoeur,2025-06-17T11:54:01.608583
tinkou__,"@rydars tu peux remplacer ""islamique"" par ""totalitaire"", ça marche encore mieux",2025-06-17T11:54:02.608175
theoriginalpimousse_,@Lupa_612 samueleDark,2025-06-17T11:54:03.593602
lepilierdebar,Erycite_ Pour l'arme,2025-06-17T11:54:03.882823
kine22,l'Iran n'a t-il pas deja l'arme nucléaire ?,2025-06-17T11:54:06.934180
lupa_612,@sdfljsgrljfslk samueleCoeur,2025-06-17T11:54:07.686140
nightbot,Mes meilleurs clips sur TikTok : tiktok.com/@samueletienneofficiel,2025-06-17T11:54:07.838020
tsukaaaa,"Au passage, c'est assez drole que les pays qui possedent la bombe nucleaire ne veulent pas que les autres la possede, mais pour eux meme c'est ok",2025-06-17T11:54:08.391460
ptitejaja,@FricasseeDeFevesAuBellota Ah oui carrément ?! haha si tu le dis,2025-06-17T11:54:09.965595
clamakinisback,@erycite_ centrale nucléaire to bombe nucléaire,2025-06-17T11:54:10.831484
john33fr,"c'est évidemment pour se débarasser d'un opposant politique, comme les 4 autres états qu'israel a attaqué...",2025-06-17T11:54:11.971582
oloooks1,"@rydars mdr l'iran est plus civilisé que nous, la communion est meilleure, il fait bon à y vivre, avant d'être un pays islamique c'est un ""pays""",2025-06-17T11:54:12.188889
gm_graham,Depuis 1973 en réalité,2025-06-17T11:54:14.404626
saint_l0up,Depuis la révolution de 79 plutôt,2025-06-17T11:54:16.452902
huttopie,"@rydars les pays occidentaux non, car ils ont eux aussi la bombe, mais pour les pays arabes oui. Donc laisser avoir la bombe à l'iran c'est aussi laisser proliférer la bombe dans toute la région",2025-06-17T11:54:16.633134
falwoufr,“La guerre est une poursuite de l'activité politique par d'autres moyens.”,2025-06-17T11:54:17.774765
apsilon999,d'allié sous le régime du Shah a ennemie sous régile des mollahs,2025-06-17T11:54:18.669510
tutor_hcz,@bapthard ok ok ^^,2025-06-17T11:54:18.695176
